ID,Doctor,Specialty,Location,Clinic,Contact,Online
33,Nelda Hermiston,"Ear, Nose, Throat",Davao City,"59A/25 Larson Common, Tubod 1513 Agusan del Norte",symbolic@me.com,
34,Miss Marshall Ankunding,"Ear, Nose, Throat",Davao City,"60A/31 Kerluke Mountains, Marawi City 2604 Davao Oriental",tezbo@hotmail.com,
35,Noemy Streich,"Ear, Nose, Throat",Cagayan de Oro,"79/79 Williamson Village Apt. 064, Poblacion, Calamba 3458 Cavite",pkilab@aol.com,
36,Hipolito Wiza,"Ear, Nose, Throat",Cagayan de Oro,"27A Gulgowski Summit, Poblacion, Cotabato City 5770 Negros Oriental",scitext@yahoo.ca,
37,Dan Kuhlman,"Ear, Nose, Throat",Pampanga,"24 Borer Groves, Poblacion, Bogo 6578 Laguna",eurohack@gmail.com,
38,Gennaro Hane,"Ear, Nose, Throat",Pampanga,"10 Gusikowski Camp Apt. 969, Almeria 5934 Camarines Norte",grady@outlook.com,
39,Lyric Keeling,"Ear, Nose, Throat",Baguio City,"77A Donnelly Fork, Noveleta 5047 Romblon",slaff@gmail.com,
40,Noemy Feil Jr.,"Ear, Nose, Throat",Baguio City,"27/35 Hand Stravenue, Poblacion, Borongan 1196 Southern Leyte",barnett@me.com,
41,Conner Boehm,"Ear, Nose, Throat",Ilocos Sur,"69A Lakin Gardens, Calatagan 7625 Abra",nelson@sbcglobal.net,
42,Keven Gislason,"Ear, Nose, Throat",Pangasinan,"48A/38 Zemlak Hills Apt. 014, Poblacion, Muñoz 9499 Zamboanga del Norte",skythe@aol.com,
43,Tiara Kutch,"Ear, Nose, Throat",La Union,"05A/56 Rau Well Suite 390, Poblacion, General Santos 8631 Sorsogon",parsimony@live.com,
44,Elroy Hermann,"Ear, Nose, Throat",Iloilo,"87/37 Kertzmann Route, Bugasong 0486 Davao del Sur",jfmulder@me.com,
45,Alden Roob,"Ear, Nose, Throat",Iloilo,"78/79 Wolff Forks Suite 622, Cordon 0136 Benguet",smpeters@gmail.com,
46,Arnulfo Jast,"Ear, Nose, Throat",Bacolod City,"18A Wilkinson River Apt. 896, Sibagat 2587 Apayao Quezon",flaviog@outlook.com,
47,Arnaldo Schmidt,"Ear, Nose, Throat",Caloocan,"78A/66 Tillman Valley Suite 103, Siaton 5241 La Union",jbarta@gmail.com,
48,Johnathon Wiegand,"Ear, Nose, Throat",Caloocan/Quezon City,"84A Rohan Parkways, Poblacion, Lapu-Lapu 4548 Northern Samar",curly@optonline.net,
49,Isaiah Hauck,"Ear, Nose, Throat",Laguna/Las Pinas,"40 Cruickshank Estates, Biliran 3512 Sulu",msroth@aol.com,
50,Howard Jakubowski,"Ear, Nose, Throat",Las Pinas,"97/51 Skiles Row Suite 273, Poblacion, Pagadian 5295 Apayao",andrewik@outlook.com,
51,Adah Rowe,Neurologist,Las Pinas/Manila,"73 Glover Meadow, San Vicente 9939 Zamboanga del Sur",retoh@yahoo.com,
52,Quinn Gottlieb,Neurologist,Las Pinas/Muntinlupa/Manila,"08 Goldner Shores Apt. 314, Malasiqui 7310 Negros Oriental",erynf@gmail.com,
53,Isai Turcotte,Neurologist,Las Pinas/Muntinlupa/Manila,"63/77 Hartmann Extensions, Poblacion, Himamaylan 6067 Lanao del Sur",lukka@me.com,
54,Mrs. Nolan Schmitt,Neurologist,Las Pinas/Muntinlupa/Paranaque,"30 Stanton Bridge Suite 236, Binangonan 3085 Catanduanes",firstpr@yahoo.ca,
55,Jarret Champlin,Neurologist,Las Pinas/Paranaque,"00A Jacobs Pass, Manaoag 1648 Romblon",bester@verizon.net,bester@verizon.net
56,Alysson Langworth,Neurologist,Las Pinas/Paranaque/Cavite,"07A/23 Okuneva Viaduct, Poblacion, Candon 8473 Camiguin",harryh@comcast.net,harryh@comcast.net
57,Selena Gorczany,Neurologist,Las Pinas/Pasay,"79 Jenkins Heights Apt. 279, San Fernando City 3047 Cebu",stecoop@verizon.net,stecoop@verizon.net
58,Eldred Von,Neurologist,Makati,"68 Zulauf Alley, Tagoloan 3655 Aklan",demmel@gmail.com,
59,Jayden Borer,Neurologist,Makati,"96A Bosco Cape, Bacolod 9370 Nueva Vizcaya",weazelman@icloud.com,
60,Percy Mills,Neurologist,Makati/Laguna,"36A Crona Trafficway Suite 940, Dolores 1159 Antique",biglou@me.com,
61,Yolanda Klocko,Neurologist,Makati/Manila,"75 Legros Landing Apt. 729, Poblacion, Mati 7157 Bohol",twoflower@sbcglobal.net,
62,Jamison Gutkowski,Neurologist,Makati/Muntinlupa,"69 Labadie Island, Poblacion, Urdaneta 6472 Misamis Oriental",citadel@icloud.com,
63,Vernice Schultz,Neurologist,Makati/Muntinlupa,"06/86 Bernier Lane, Poblacion, Canlaon 5174 Ifugao",nullchar@optonline.net,
64,Wyman Mitchell,Neurologist,Makati/Ortigas,"36 Ankunding Walks, MacArthur 9105 Masbate",cliffordj@yahoo.com,
65,Loma Hodkiewicz,Neurologist,Makati/Taguig,"56A Mante Ville Apt. 904, Kabacan 5642 Oriental Mindoro",scarolan@aol.com,
66,Mya McGlynn,Neurologist,Mandaluyong/Taguig,"49A/74 Beier Plain Suite 426, Poblacion, Iloilo City 9407 Zamboanga Sibugay",yxing@msn.com,
67,Breanne Quigley,Neurologist,Manila,"24A/85 Littel Turnpike Suite 992, Kiamba 1785 Sultan Kudarat",miyop@att.net,
68,Joanny Prohaska,Neurologist,Manila,"14A Gerhold Wall Suite 469, Poblacion, Surigao City 4615 Camiguin",rfoley@optonline.net,
69,Oscar Crist,Neurologist,Manila,"38/96 Williamson Canyon Suite 393, Parang 7082 Agusan del Norte",yxing@me.com,
70,Wayne Blick,Neurologist,Manila,"13 Glover Hollow Suite 737, La Paz 9323 Leyte",geekoid@outlook.com,
71,Taya Bechtelar,Neurologist,Manila,"82A/40 Schmitt Ridges Apt. 050, Larena 9760 Benguet",moonlapse@yahoo.com,
72,Jabari Rempel,Neurologist,Manila,"94 Bogisich Turnpike Apt. 454, Poblacion, Tangub 9791 Nueva Vizcaya",sscorpio@hotmail.com,
73,Orie Klocko,Neurologist,Manila,"94A/24 Klein Street, Poblacion, Tacloban 3178 Benguet",arandal@yahoo.com,
74,Titus Volkman,Neurologist,Manila/Davao,"85A/59 Connelly Mill Apt. 293, Leon 6842 Zamboanga del Sur",ilial@outlook.com,
75,Justine Heaney IV,Neurologist,Manila/Quezon City,"95 Botsford Street Suite 727, Poblacion, Legazpi 8296 Zamboanga Sibugay",cmdrgravy@verizon.net,
76,Leann Corkery Jr.,Neurologist,Marikina/Antipolo,"14A O'Keefe Causeway Suite 143, Cawayan 5468 Negros Oriental",ccohen@yahoo.com,
77,Alicia Bode,Neurologist,Muntinlupa/Las Pinas/Paranaque/Cavite,"23/01 Wiza Rapids, Poblacion, Bacolod 2000 Quirino",emcleod@aol.com,
78,Casper Emmerich,Neurologist,Muntinlupa/Makati,"43 Kuhlman Summit, Poblacion, Malaybalay 6594 Cavite",tkrotchko@icloud.com,
79,Jayde Senger III,Neurologist,Muntinlupa/Manila,"60 Lesch Lake, Badoc 9462 Batanes",maikelnai@msn.com,
80,Tommie West,Neurologist,Muntinlupa/Paranaque,"68A/55 Wolff Locks Suite 480, Masiu 9380 Benguet",seurat@att.net,
81,Lexi Pfeffer II,Neurologist,Paranaque,"43 Davis Court Apt. 496, Santo Tomas 6958 Surigao del Norte",russotto@comcast.net,
82,Rusty West II,Neurologist,Paranaque/Las Pinas/Muntinlupa,"96/92 Conroy Flat, Poblacion, Calamba 9520 Masbate",intlprog@outlook.com,
83,Deron Will,Neurologist,Pasig,"49/29 Mills Fall, Ginatilan 4922 Sorsogon",kuparine@optonline.net,
84,Monty Bahringer,Neurologist,Pasig,"15 Schaefer Courts Apt. 140, Poblacion, Koronadal 5087 Bulacan",bahwi@hotmail.com,
85,Devante Rogahn,Neurologist,"Pasig, Quezon City/Manila","64 Renner Stravenue Suite 947, Poblacion, Cebu City 8965 Marinduque",eimear@outlook.com,
86,Felix Wyman,Neurologist,Pasig/Cainta,"35 Boehm Mountains, Bantay 5158 Bohol",stevelim@icloud.com,
87,Nora Kuvalis,Neurologist,Pasig/Marikina/San Juan,"88A Simonis Center, Kinoguitan 2101 Basilan",pierce@verizon.net,
88,Dayna Ullrich,Neurologist,Pasig/Muntinlupa/Quezon City,"92 Williamson Flat Suite 061, Bauan 7804 Sarangani",warrior@msn.com,
89,Ayden Ward,Neurologist,Quezon City,"66 Hayes Pines Suite 135, Tagapul-an 1630 Benguet",attwood@msn.com,
90,Antwan McKenzie,Neurologist,Quezon City,"79 Howell Divide, Parang 3565 Lanao del Sur",barjam@yahoo.ca,
91,Alanna Marks,Neurologist,Quezon City,"87A/20 Ward Park Suite 301, Pambujan 5308 Lanao del Norte",lahvak@sbcglobal.net,
92,Emilio Bernhard,Neurologist,Quezon City,"18A/67 Kreiger Lane Apt. 857, Getafe 1224 Apayao",jesse@icloud.com,
93,Luis Shanahan,Neurologist,Quezon City,"90/58 Cormier Courts Apt. 510, Poblacion, General Santos 6471 Basilan",jbailie@outlook.com,
94,Edd Pfeffer DDS,Neurologist,Quezon City,"49 Oberbrunner Squares, Poblacion, Lipa 0247 Nueva Ecija",staffelb@gmail.com,
95,Adele Turcotte,Neurologist,Quezon City,"74A Ryan Brooks, Sibonga 6002 Dinagat Islands",dhwon@mac.com,
96,Gilbert Guªann,Neurologist,Quezon City,"94 Harber Plains, San Isidro 8973 Misamis Occidental",gregh@verizon.net,
97,Janick Johns,Neurologist,Quezon City,"33 Kassulke Drives Apt. 898, General Trias 9469 Biliran",mxiao@optonline.net,
98,Delmer VonRueden,Neurologist,Quezon City,"20 Grant Underpass Suite 946, San Andres 6787 Compostela Valley",jsbach@live.com,
99,Sterling Dickens,Neurologist,Quezon City/Bulacan,"73A/76 Leannon Corners Apt. 781, Talitay 9524 South Cotabato",sonnen@outlook.com,
100,Cedrick Kuphal,Neurologist,Quezon City/Pasay/Las Pinas/Muntinlupa,"46 Beahan Inlet, Piddig 1327 Misamis Occidental",kempsonc@aol.com,
101,Raymundo Schmeler,Ophthalmologist,Quezon City/Pasig/Manila,"64A/96 Thiel Villages, Pitogo 2722 Isabela",mdielmann@me.com,
102,Kennedy Ferry,Ophthalmologist,Quezon City/Pasig/Marikina,"42 Haley Springs Apt. 341, Poblacion, Canlaon 1221 Dinagat Islands",maratb@yahoo.com,
103,Bradley Schneider,Ophthalmologist,Quezon City/San Juan,"39A Dibbert Crossing, Poblacion, Alaminos 1773 Kalinga",salesgeek@outlook.com,
104,Arnaldo Schmitt,Ophthalmologist,Quezon City/Taguig,"96/15 Ward Parkway Apt. 705, Poblacion, Ilagan 0522 Bataan",rgarton@live.com,
105,Candice Kerluke,Ophthalmologist,Quezon City/Taguig,"65 Emard Inlet Apt. 562, Poblacion, Mandaluyong 2602 Bohol",augusto@sbcglobal.net,
106,Nedra Gottlieb,Ophthalmologist,Quezon City/Taguig/Manila,"87/69 Zboncak Shore, Malaybalay City 3034 Cotabato",knorr@icloud.com,
107,Jayde Spencer,Ophthalmologist,Taguig/Quezon City,"56 Hirthe Lodge, Santa Cruz 8964 Metro Manila",tbeck@yahoo.com,
108,Lydia Sporer,Ophthalmologist,Baguio,"03A Raynor Lodge Apt. 143, Maguing 1533 Misamis Occidental",duncand@aol.com,
109,Hettie Swaniawski,Ophthalmologist,Baguio,"87/98 Rolfson Creek Apt. 846, Famy 8029 Zamboanga Sibugay",uqmcolyv@me.com,
110,Gene Mayert,Ophthalmologist,Baguio,"99 Becker Mountain Suite 337, Poblacion, Dasmariñas 7370 Mountain Province",larry@yahoo.com,
111,Shemar Greenholt,Ophthalmologist,Baguio,"43A Mitchell Keys, Loreto 6678 Siquijor",pierce@sbcglobal.net,
112,Lance Murray,Ophthalmologist,Baguio,"51 Berge Street, San Gabriel 6773 Samar",jdray@optonline.net,
113,Chelsie Blick,Ophthalmologist,Baguio,"26/96 Welch Islands Apt. 200, Basey 5830 Northern Samar",aschmitz@comcast.net,
114,Esteban Swaniawski,Ophthalmologist,Baguio/Benguet,"18A Simonis Ferry, Poblacion, Trece Martires 7310 Nueva Vizcaya",gozer@sbcglobal.net,
115,Rhoda Hills,Ophthalmologist,Baguio/Benguet,"56A Konopelski Rue Apt. 274, Tacloban City 3301 Zamboanga Sibugay",fudrucker@msn.com,
116,Lindsey Torphy,Ophthalmologist,Baguio/Benguet,"22A Cummerata Stream, Lemery 6288 Samar",mcraigw@yahoo.ca,
117,Eva Quigley,Ophthalmologist,Baguio/Urdaneta City,"19A Becker Curve, Poblacion, Puerto Princesa 5791 Zamboanga del Norte",hwestiii@gmail.com,
118,Ahmed Hermiston,Ophthalmologist,Bulacan,"65A Mills Junction Apt. 777, El Salvador City 6410 Tarlac",odlyzko@comcast.net,
119,Henderson Hansen,Ophthalmologist,Bulacan,"63A Barton Burg, Tambulig 8089 Cagayan",drhyde@gmail.com,
120,Loraine Powlowski,Ophthalmologist,Bulacan (Malolos/Hagonoy),"25/42 Vandervort Passage, Taysan 4668 Tarlac",cumarana@att.net,
121,Ofelia Lang,Ophthalmologist,Bulacan/Manila,"05A/50 Aufderhar Way Apt. 897, Iligan City 5204 Cotabato",amaranth@hotmail.com,
122,Natasha Jacobi,Ophthalmologist,Ilocos Norte,"87/87 Luettgen Ferry, Sibagat 5444 Negros Occidental",naupa@yahoo.ca,
123,Tyree Lueilwitz,Ophthalmologist,Ilocos Sur,"81/35 Greenfelder Pass Apt. 469, Poblacion, Bais 0744 Romblon",wortmanj@icloud.com,
124,Damaris Jacobi,Ophthalmologist,Isabela,"52 Tremblay Circles, Poblacion, Batangas City 2285 Zambales",chaikin@yahoo.com,
125,Everette Terry,Ophthalmologist,La Union,"48A Gulgowski Walks, Poblacion, Tabaco 7433 Siquijor",matsn@msn.com,
126,Antonette Lind,Ophthalmologist,La Union,"51A/95 Cassin Ford, Poblacion, Lucena 4004 Pampanga",zeller@me.com,
127,Prince O'Conner,Ophthalmologist,Nueva Ecija,"15A Bergstrom Alley, Poblacion, Meycauayan 3860 Zamboanga del Sur",bachmann@outlook.com,
128,Abbey Donnelly,Ophthalmologist,Pangasinan,"91 Corwin Summit Apt. 479, Poblacion, Tandag 7798 Aklan",enintend@live.com,
129,Jasmin Smith,Ophthalmologist,Pangasinan (Dagupan),"98 VonRueden Brooks, Oras 8590 Bukidnon",lipeng@outlook.com,lipeng@outlook.com
130,Lauryn Weber,Ophthalmologist,Pangasinan (Dagupan),"33 Kshlerin Neck, Poblacion, San Jose 2395 Metro Manila",esokullu@yahoo.com,esokullu@yahoo.com
131,Austyn Funk,Ophthalmologist,Pangasinan (Dagupan),"25A Emard Prairie Apt. 719, Poblacion, La Carlota 2504 Batangas",brbarret@aol.com,brbarret@aol.com
132,Dayne Nienow,Ophthalmologist,Pangasinan (San Carlos),"17A/78 Yost Common Suite 119, Poblacion, Baybay 8405 Camiguin",gumpish@yahoo.ca,
133,Golden Schiller,Ophthalmologist,Tarlac,"93A Medhurst Stravenue, Poblacion, Muñoz 3266 Bataan",timtroyr@verizon.net,
134,Jairo Yundt,Ophthalmologist,Bacolod,"94A/13 Greenholt Bridge Apt. 897, Pinabacdao 3294 Samar",mschilli@outlook.com,
135,Leonel Reichel,Ophthalmologist,Bacolod,"81 McKenzie Hills Apt. 554, Victoria 5583 Camarines Norte",jbearp@hotmail.com,
136,Myrtle Ebert,Ophthalmologist,Bacolod,"42A Torp Keys, Poblacion, Naga 7463 Pangasinan",tangsh@att.net,
137,Vita Rutherford,Ophthalmologist,Batangas,"63A Brekke Way, Poblacion, Puerto Princesa 8025 Pampanga",agapow@outlook.com,
138,Meggie Morar,Ophthalmologist,Batangas,"49A/01 Kessler Ridges, Mahaplag 2770 Northern Samar",cremonini@me.com,
139,Kian Prohaska,Ophthalmologist,Batangas,"88/36 Kohler View, Badian 0521 Sorsogon Quezon",hoangle@aol.com,
140,Deangelo Cole,Ophthalmologist,Batangas/Southern Metro Manila,"01A Johns Ridge, Nunungan 5623 Lanao del Sur",kramulous@msn.com,
141,Madisen Wilkinson,Ophthalmologist,Cavite (Bacoor),"72A/97 Predovic Estate, Guimba 8767 Kalinga",ewaters@icloud.com,
142,Rubye Baumbach,Ophthalmologist,Laguna (Alaminos),"60A Runte Union Apt. 893, Poblacion, Valenzuela 9243 Albay",zeller@verizon.net,
143,Sarah Turcotte,Ophthalmologist,Laguna (Cabuyao),"24A/57 Stokes Ports Apt. 463, Lucban 6954 Laguna",akoblin@yahoo.ca,
144,Velva Lakin,Ophthalmologist,Laguna (Calamba),"65A Bahringer Loop Apt. 679, Poblacion, Santa Rosa 0331 Cavite",attwood@live.com,
145,Brenda Larkin,Ophthalmologist,Laguna (Los Banos),"55/06 McClure Rue Suite 211, Tagkawayan 4827 South Cotabato",portele@verizon.net,
146,Ebony Kulas,Ophthalmologist,Laguna (San Pablo),"61/18 McKenzie Manor, Pantar 3367 Sultan Kudarat",murdocj@icloud.com,
147,Fabian Fadel,Ophthalmologist,Laguna (San Pablo),"07/46 Erdman Plain, Poblacion, Victorias 9317 Lanao del Sur",djupedal@comcast.net,
148,Ms. Karina Lind,Ophthalmologist,Laguna (Sta Cruz),"58A Predovic Burg, Poblacion, Tanauan 7104 Cagayan",ranasta@live.com,
149,Alfonso Jewess,Ophthalmologist,Laguna (Sta Rosa)/Cavite,"26A Weissnat Green Apt. 339, Poblacion, Cagayan de Oro 6380 Nueva Ecija",jaffe@att.net,
150,Thelma Kihn,Ophthalmologist,Puerto Princessa,"81A/12 Baumbach Island, Calanasan 3299 Nueva Ecija",caidaperl@live.com,
,,,,,smqilagangacitamd@gmail.com,
,,,,,gracejoy1979@gmail.com,
,,,,,rcfpineda@yahoo.com.ph,
,,,,,porlasromeo@gmail.com,
,,,,,gbsneuro@icloud.com,
,,,,,mps.neuropsych@gmail.com,
,,,,,elabarcelon@yahoo.com,
,,,,,makdmcenina.neuro@gmail.com,
,,,,,alvincenina.md@gmail.com,
,,,,,durezaabad@gmail.com,
,,,,,drjoeladvincula@gmail.com,
,,,,,genelicupneuromd@gmail.com,
,,,,,jordanville.roda@gmail.com,
,,,,,limneurology@gmail.com,
,,,,,jmacapaz2004@yahoo.com,
,,,,,dr.mtcanete.neurologist@gmail.com,
,,,,,pearlsendaydiego@gmail.com,
,,,,,RosalindFYu@gmail.com,
,,,,,kristinacoFPNA@yahoo.com,
,,,,,cim1776@yahoo.com,
,,,,,janets_med6@yahoo.com,
,,,,,dr.dellosa.neuro@gmail.com,
,,,,,marloweindo@gmail.com,
,,,,,hor_he@yahoo.com,
,,,,,drrubenflores.neurology@gmail.com,
,,,,,shahjamla@yahoo.com,
,,,,,junfritz7583@yahoo.com,
,,,,,archieyapdomingo@gmail.com,
,,,,,jonahandumon@gmail.com,
